	Title	Movie Url	Year	Certificate	Genre	Runtime	Metascore	Rating	Description	Director	Stars	Votes	Gross	Movie Poster
0	The Godfather	https://www.imdb.com/title/tt0068646/	1972	M18	['Crime', ' Drama']	175.0	100.0	9.2	The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.	Francis Ford Coppola	['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']	1894039.0	134970000.0	https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR3,0,140,209_AL_.jpg
1	The Godfather Part II	https://www.imdb.com/title/tt0071562/	1974	PG	['Crime', ' Drama']	202.0	90.0	9.0	The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.	Francis Ford Coppola	['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']	1291787.0	57300000.0	https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR3,0,140,209_AL_.jpg
2	Ordinary People	https://www.imdb.com/title/tt0081283/	1980	PG	['Drama']	124.0	86.0	7.7	The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.	Robert Redford	['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch', 'Timothy Hutton']	54024.0	54800000.0	https://m.media-amazon.com/images/M/MV5BNWU3MDFkYWQtMWQ5YS00YTcwLThmNDItODY4OWE2ZTdhZmIwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
3	Lawrence of Arabia	https://www.imdb.com/title/tt0056172/	1962	PG	['Adventure', ' Biography', ' Drama']	218.0	100.0	8.3	The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.	David Lean	"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']"	299317.0	44820000.0	https://m.media-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UY209_CR2,0,140,209_AL_.jpg
4	Straw Dogs	https://www.imdb.com/title/tt0067800/	1971	M18	['Crime', ' Drama', ' Thriller']	113.0	73.0	7.4	A young American and his English wife come to rural England and face increasingly vicious local harassment.	Sam Peckinpah	['Dustin Hoffman', 'Susan George', 'Peter Vaughan', 'T.P. McKenna']	61994.0	65274579.405366205	https://m.media-amazon.com/images/M/MV5BNDBiZGJmY2EtZTNhYi00NTM2LWE2NjQtZTAyN2RlNDM4NjEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR1,0,140,209_AL_.jpg
5	Close Encounters of the Third Kind	https://www.imdb.com/title/tt0075860/	1977	PG	['Drama', ' Sci-Fi']	138.0	90.0	7.6	Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches.	Steven Spielberg	['Richard Dreyfuss', 'François Truffaut', 'Teri Garr', 'Melinda Dillon']	207157.0	132090000.0	https://m.media-amazon.com/images/M/MV5BMjM1NjE5NjQxN15BMl5BanBnXkFtZTgwMjYzMzQxMDE@._V1_UY209_CR0,0,140,209_AL_.jpg
6	Once Upon a Time in the West	https://www.imdb.com/title/tt0064116/	1968	PG	['Western']	165.0	82.0	8.5	A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.	Sergio Leone	['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']	335101.0	5320000.0	https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
7	The Dirty Dozen	https://www.imdb.com/title/tt0061578/	1967	PG13	['Action', ' Adventure', ' War']	150.0	73.0	7.7	During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.	Robert Aldrich	['Lee Marvin', 'Ernest Borgnine', 'Charles Bronson', 'John Cassavetes']	75687.0	45300000.0	https://m.media-amazon.com/images/M/MV5BM2Y1ZTI0NzktYzU3MS00YmE1LThkY2EtMDc0NGYxNTNlZDA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg
8	Rosemary's Baby	https://www.imdb.com/title/tt0063522/	1968	M18	['Drama', ' Horror']	137.0	96.0	8.0	A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.	Roman Polanski	['Mia Farrow', 'John Cassavetes', 'Ruth Gordon', 'Sidney Blackmer']	222110.0	65274579.405366205	https://m.media-amazon.com/images/M/MV5BMTA5NWQwMmYtZjEyYS00Nzc2LTgwZjAtNTQ4NmFmZjNkNjg4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
9	Cabaret	https://www.imdb.com/title/tt0068327/	1972	PG	['Drama', ' Music', ' Musical']	124.0	80.0	7.8	A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.	Bob Fosse	['Liza Minnelli', 'Michael York', 'Helmut Griem', 'Joel Grey']	56764.0	42770000.0	https://m.media-amazon.com/images/M/MV5BYzEzZWU3ZTctMGRmZi00YTBiLThhN2UtNzRmNjI5ZGRhOTJlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
